team,member,sand16,water16,sprint16,hurdles16,relay17,sand17,sprint17,hurdles17,steeplechase,undrwtr17,snowrally,winBiathlon,icedash,speedskat,snowboard,sandmgl,relay,sandrally,underwater,msprint,hurdles,elimination,biathlon,overallcount
BALLS OF CHAOS,ANARCHY,,.7999205,,,.3709200322628021,,,,,,,.65985084,,,.72061968,,.4432024106727064,,,,,-.31548125,-.10061207,7
BALLS OF CHAOS,CLUTTER,,,.90450341,1.2491839,.2387305796146393,,,,,,-.2621555639198694,.67566538,,,,,-.1667403490391207,,,,,,,6
BALLS OF CHAOS,SNARL,-.067632437,,,,.596821129322052,,,,,,,-.15629892,,-1.0814176,,,-.2648484123546723,,-.39112228,,-.99983567,,,7
BALLS OF CHAOS,TUMULT,,,,,.1829571723937988,-.129903227310952,,,,,,-.72542018,.51518607,,,1.0253704,.4341613673848843,1.5020084,-.50327003,-1.1070489,,,,9
CHOCOLATIERS,BONBON,,,,,.3781123361794899,-.6639893219762432,,-1.2318068,.53683925,,-1.021027184729298,,,,,,-.2955495057052683,,,,,.068985283,.82423824,8
CHOCOLATIERS,CHOC,,,.73436463,-1.6575828,.1717875990552631,,.23233634,,,,,,-.20457585,,,,-.6386485676274886,,.23723808,,,,,7
CHOCOLATIERS,COCOA,,-2.3164768,,,.2424944639446035,,,,.36777157,,,,,,,,-.0776721375544452,-.42058173,1.6411427,.50970066,,,,7
CHOCOLATIERS,MOCHA,-.24125317,,,,.3992678396232388,,,,.49394146,-1.1307052,,,,,,,-.5969147675505468,,,,.20549574,,,6
JAWBREAKERS,CANDY,.3967064,,,,-.5659959911167401,,,,.50571734,,,,,,,,1.74921874115402,1.5917732,,,,,,5
JAWBREAKERS,MOUTHFUL,,,,-.62491542,,,,,,,,,,,,,,,,,,,,1
JAWBREAKERS,TIDBIT,,.22458507,,,,,,,,,,,,,,,,,,,,,,1
JAWBREAKERS,TONGUE TWISTER,,,.20545617,,,,,,,,,,,,,,,,,,,,,1
KOBALTS,AZURE,,.63211286,,,-1.788463711738586,,,,,,,,.7551074,,,,1.902417137691414,.42627972,-.28366137,,,,,6
KOBALTS,CERULEAN,-1.0972518,,,,-.2854693830013275,,,,,,,,,,,,-1.579004969191158,,,,,,,3
KOBALTS,DODGER,,,.33120885,-.93089247,,,,,,,,,,,,,,,,,,,,2
KOBALTS,ROYAL,,,,,,,,,,,,,,,,,,,,,,,,0
LIMERS,JELLIME,,,,,,,,,,,,,,,,,,,,,,,,0
LIMERS,LEMONLIME,,,-.20139799,,.3047530370884539,-.9676268200559468,.2745792,,.58394259,,-.6361698358145098,-.45589516,,,,,.78194811755883,,,,,,,8
LIMERS,SLIMELIME,,,,,.4461798320868751,,,,.47207198,-.75748378,,-.13131751,1.1549749,,,,-.9350308159835352,,-.77455002,,,,,7
LIMERS,SUBLIME,-1.5737033,,,.98145556,-.0464289404652926,,,.68361813,.50067049,,,-.29993287,-.52446932,,.85938442,,1.825817939422717,,,,,,,9
MELLOW YELLOW,YELLAH,,,,,-.1450551847051692,,,,,,,-.66309524,,,,,.7993886826221536,,-.1286425,,,,,4
MELLOW YELLOW,YELLEY,1.5111191,,,,-1.16043761849713,-1.144189288743745,,-2.0083311,.56291431,,-.3106814330707149,-.045044579,,,,,.4093634444835564,,,,,,.47289431,9
MELLOW YELLOW,YELLOW,,.58416402,,,-.873474344628833,,.93075293,,.49982935,-1.7623111,,.19273873,,-1.6189096,,.46419895,.8885279280960066,-.18023528,-.21159095,.5096997,-.28658926,,,13
MELLOW YELLOW,YELLUP,,,.2646341,1.23006,-.5080631082041775,,,,.72104722,,,-1.1216651,.31525281,,-1.9981549,,-.0686609377728157,,,,,-.1168509,,9
O'RANGERS,CLEMENTIN,,,,,1.310876963083565,.8428252005964811,,.45497519,.50739956,,,.11510821,,.35176536,,,-.5506721868636594,,,,,,,7
O'RANGERS,KINNOWIN,,,,.14002272,.574539308520599,.0595389791841846,,,.54272711,1.3478655,,.53479826,-.25788999,,,-.52954435,-.2936665493097846,1.0814325,-.68867314,,.73137009,,,12
O'RANGERS,MANDARIN,,.56020045,,,-.6280103948541986,,,,.56627882,,,-.36035335,,,.60241354,,.7862419173386997,,,,,.70332444,.37296548,8
O'RANGERS,TANGERIN,-.48351908,,,,-.3295509219305792,,-.49424264,,.55113852,,.0148244375885422,.20987359,,,,,.6640468632895782,,,,,,,7
OCEANICS,AQUA,,,,-.45280477,.5844771473359094,,,,.49394146,,-.7746642035475819,-1.0262557,,,,,-1.18453055253714,-2.4032283,,,,,-.67846251,8
OCEANICS,OCEAN,,,-1.2518198,,.9634934128143048,-.7026686642571606,,.94892991,.51328748,,,-.67227077,,.21735953,,-.59969014,.490698006931945,,-.68286121,,-1.2578564,,,11
OCEANICS,SEA,,,,,.4339053820939762,.9165394371383697,.82373774,,.48468903,-.21200784,,.066717155,.57516718,,,,-1.114050617260423,,,-.19980851,,-1.4496157,,10
OCEANICS,SHORE,-.60464895,,,,.8742992497874273,,,,.49730599,,,-1.3963721,,,-1.2888907,,.6352367379792314,,,,,,,6
PINKIES,PINKY DINK,,,,,.0933924572569526,,-.029570263,,.37281832,,1.259221267119508,.1567335,,,,,-.2747346092801546,,,-1.5955604,,-1.8340651,-.787081,9
PINKIES,PINKY ROSA,,,.02052022,,.506767968395182,.1492038898184965,,-.034666456,,,,.27026418,-.9509939,,,,.4093634444835567,-.72098452,-.33533269,,-2.3120611,,,10
PINKIES,PINKY TOE,,,,,-.2567803742712806,,,,.57973701,-.24071646,,-.68891513,,-1.4845037,,-1.0556422,.2548237531407809,,,,,,,7
PINKIES,PINKY WINKY,-.44313937,,,,.0363306285908225,,,,.39721122,,-.3439586781837724,-.53339374,,,.16042297,,-.2940648726635198,,-2.0517902,,,,,8
ROJO ROLLERS,ROJO CUATRO,,,,,-.3207612037658691,,,,,,,,,,,,-1.234553677940569,.10252792,,,,,,3
ROJO ROLLERS,ROJO DOS,,,,-.66316319,-.0470446310937405,,,,,,,,,,,,.641711524746755,,,,,,,3
ROJO ROLLERS,ROJO TRES,,,-.83757061,,.5204874873161316,,,,,,,,-.4444952,,,,-1.331637446955018,,,,,,,4
ROJO ROLLERS,ROJO UNO,1.4263257,,,,-.1030924469232559,,,,,,.0033498457958574,,,,,,.6768299653922372,,-.1286425,,,,,5
SAVAGE SPEEDERS,RAPIDLY,,,1.448209,,-.1344311662055526,,,,.54777396,,,.48078975,,1.2326242,,,-.466157558468637,.66091079,.81323457,,,,-1.0825235,9
SAVAGE SPEEDERS,SPEEDY,,,,.96233255,-.8568505985201911,,.86316454,,.60076535,-1.0158681,,1.0748919,,,,,-.6942956836174715,,-.92956889,,,,,8
SAVAGE SPEEDERS,SWIFTY,-.16049993,,,,-.1385963373567694,-.7909880495234337,,.61890799,.46618408,,,.45044249,.33524635,,.22208616,,.3154610640415344,,,,,,,9
SAVAGE SPEEDERS,VELOCITY,,1.1834643,,,,,,,,,,,,,,,,,,,-.56488431,,,2
SNOWBALLS,SNOW,,,1.0154643,,1.004393100738525,,,,,,,-.24805227,.35523841,,,-.12620127,-1.084951594787833,,.013455482,,,,,7
SNOWBALLS,SNOWFLAKE,.27557498,,,,.9502660036087036,,,,,,,-.36035335,,.9340167,,,-3.742644512358292,,,,,,,5
SNOWBALLS,SNOWSTORM,,,,,-2.085341215133667,.4654865645309035,,,,,,-.27280951,,,.071347311,,-3.600784287401134,.55579346,,,,,,6
SNOWBALLS,SNOWY,,,,.42687404,.7588974833488464,,,,,,.6729019507110577,-.18532601,,,,,.641711524746755,,,,,,,5
TEAM GALACTIC,ASTRON,,,-.5268802,,-.0346927798680354,-.6892087893442077,.13095304,,.57889587,,1.734195547901719,-.90088499,,,,,-.2436488312068112,,,-.53130084,,.44702426,,10
TEAM GALACTIC,COSMO,,,,-1.1986198,-.7081130407083908,,,,.4485203,,,-1.6228789,,-.036357157,,-.70490944,.2181748140340339,1.2617165,,,,,,8
TEAM GALACTIC,PULSAR,,.22458507,,,-1.228994730480053,,,,.48300672,.24734224,,-.67227077,.04534173,,,,.0394168949166808,,1.8865882,,,,.37673047,9
TEAM GALACTIC,STARRY,1.1800243,,,,-.560940953219118,1.505125212787524,,.89500505,.57132566,,-.0913193507106326,.53479826,,,-.55911279,,-.2551269468769319,,-1.1204685,,,,,10
TEAM MOMO,MO,,,,,.3266892452610189,,,,.48805356,-.36990863,,1.4380543,-1.0842822,,,-1.7308027,1.672619542885319,,-.49035159,,,,,8
TEAM MOMO,MOMO,,,-2.2060778,.15914571,.3431260301912344,-1.144189288743745,.038018823,,.50908184,,.3541282724204033,-3.5879192,,,,,.641711524746755,,,,,,,9
TEAM MOMO,MOMOMO,,-.7822634,,,.4429382279294835,,,.31476918,.6117,,,,,,,,-1.306258425213931,,,,,,,5
TEAM MOMO,MOMOMOMO,.029273592,,,,.7742589116096497,,,,,,,,,,,,-.9200546728856838,.42627972,,,,,,4
TEAM PRIMARY,IMAR,,,,-.58666939,.1634750366210938,-.614349278990904,-2.4543159,,.37113616,,,,,,,,.9221847103709043,,,,,,,6
TEAM PRIMARY,MARY,-.24125317,,,,.9376457929611206,,,,.49225914,,,-.4392508,.035346419,,-.3924461,,1.366222749810524,,,,,,,7
TEAM PRIMARY,PRIM,,,,,.6618338885870215,,,,.5048762,,,.53479826,,,,,,-.73927236,,,,,,4
TEAM PRIMARY,RIMA,,-.087047428,-.97812045,,-.5779252195243599,.5015707943395032,,-2.0342145,.49562377,-1.0158681,,,,,,,-1.027089186061972,,,,,,,8
THUNDERBOLTS,BOLTA,,,.6455977,,-.5612868218400053,1.637623366148091,-.91667229,,.49225914,,,-1.1040766,,-.17076299,,,,,,,,,,7
THUNDERBOLTS,BOLTO,.093877107,,,.73285019,-.2719049098285121,,,,.36524811,,,.030710613,,,.92791522,,,,,,,,,6
THUNDERBOLTS,BOLTU,,,,,.1686836825387964,,,-2.1895189,.43337989,,,.45044249,-.52446932,,,,,,,,,,,5
THUNDERBOLTS,BOLTY,,-.23089153,,,-.6880986932112133,,,,.51328748,-.72877377,-.3864921861717462,1.1960453,,,,-.038517434,,,,,,,,7
CRAZY CAT'S EYES,BLUE EYE,,,,,,,,,,,.4684624912659405,1.9369037,,,,,-.2822148979610667,,.86710453,,.12809128,,,5
CRAZY CAT'S EYES,GREEN EYE,,,,,,,,,,,,1.8271551,-.68441749,,-.034870081,,.0372266598486021,-.90121418,,.39726299,,,,6
CRAZY CAT'S EYES,RED EYE,,,,,,,,,,,-.423890993173891,1.5081247,,.73989165,,,-.0754002021668485,,,,,.74177241,.42944592,6
CRAZY CAT'S EYES,YELLOW EYE,,,,,,,,,,,,.7868427,.83508152,,,-1.967549,.5617766668438724,,,,,,,4
GREEN DUCKS,BILLY,,,,,,,,,,,,,,,,,.0106468570924179,,,.37787706,,,,2
GREEN DUCKS,DUCKY,,,,,,,,,,,,,,,,,.4072060091614216,,-1.5625579,,,,,2
GREEN DUCKS,MALLARD,,,,,,,,,,,,,,,,,-.2844899728799318,-.30040848,,,-.23682708,,,3
GREEN DUCKS,QUACKY,,,,,,,,,,,,,,,,,.4366458928552248,,.82071525,,,-.45003664,-1.2476224,4
HAZERS,FOGGY,,,,,,,,,,,,.13513373,,,,,.455045683617513,,,,.27921623,,,3
HAZERS,HAZY,,,,,,,,,,,-.2025113665780558,-.40369409,1.0550073,,,,.2989405872666567,,.82819587,,,,,5
HAZERS,MISTY,,,,,,,,,,,,.060075469,,1.5759873,-.70301336,,.3559127190512797,,,,,-.68071544,-.20488741,6
HAZERS,SMOGGY,,,,,,,,,,,.9865259530018118,-.095310964,,,,-.79259324,-.2903943621441691,-.66087377,1.8865882,.70355326,,,,7
INDIGO STARS,BINGO,,,,,,,,,,,,,,,,,.0354232567572538,,-.054499432,,,,,2
INDIGO STARS,DIEGO,,,,,,,,,,,,,,,,,.2494756075147076,,,,,,-1.6212703,2
INDIGO STARS,GOGO,,,,,,,,,,,,,,,,,-.2684239626036109,,.73687369,.079341322,-1.0588113,,,4
INDIGO STARS,INDIE,,,,,,,,,,,,,,,,,.0142469003679934,.48062676,,,,,,2
JAWBREAKERS,SUGAR,,,,,.1782157664318044,2.10731902082208,-.66321433,,.6150645,-.4847458,1.063078285835634,,,,,,-1.331637446955018,,-.36116958,,,,,8
JAWBREAKERS,SWEET,,,,,-1.392025110952299,-.7909880495234337,,-1.4000537,.54020375,,,,,,,,-1.444219681310493,,,,,,,5
JAWBREAKERS,TAFFY,,,,,-.1961864269889567,,,,.54356831,,,,-.20457585,,,,.8099954361212449,,,,,,,4
JUNGLE JUMPERS,HOP,,,,,.055784112515846,-.5268297552055201,-1.9305032,,.47207198,.50572658,-.6265664929510272,,,,,,.1232149743527994,,.14263748,-.14165078,,.30605268,.44277075,11
JUNGLE JUMPERS,JUMP,,,,,-.4475690643593651,,,-.19644161,.45020252,,,,,,,,-.2034476746006827,-.66087377,,,,,,5
JUNGLE JUMPERS,LEAP,,,,,-.0828364988430662,,,,.5082407,,,,,,,,-.5436505936890291,,,,.024881199,,,4
JUNGLE JUMPERS,SKIP,,,,,-.1662093676390169,,,,.49730599,,,,-.60444337,,,,.5142854323110613,,-1.9395804,,,,,5
KOBALTS,GNOME,,,,,.3691494464874268,,,,,,,,,,,,1.090468621745394,,,,,,,2
KOBALTS,MEEPO,,,,,-1.625200867652893,-.8786509958393443,,,,,-1.444888041542748,,,,,,-1.230121359990669,,,,,,,4
LIMERS,GOOLIME,,,,,-.2764130409141906,.0234547493755881,,,.39552894,,,-.90088499,,-.51412988,,-.31910315,-1.48391157740154,-2.1637347,,,,,,8
MIDNIGHT WISPS,WESPY,,,,,.6082448996843591,,,,.45020252,,,.78955048,-.79104769,,-.26614475,,-.610036565521902,,-1.1233406,,,,,7
MIDNIGHT WISPS,WISPY,,,,,1.179408388207547,-.287153454913242,-.71390581,,.5721668,,,.35476685,,,,1.2475019,,,-.1218242,,,.17790273,-1.5430648,9
MIDNIGHT WISPS,WOSPY,,,,,.3867252342231534,,,,.49057692,1.1947492,,1.3062829,,-.15579939,,,,,,,,,,5
MIDNIGHT WISPS,WUSPY,,,,,-.3207204573235382,,,-.79177648,.60581207,,.0838044699517027,1.0587304,,,,,,-.18023528,,-1.7351367,1.1822925,,,8
MINTY MANIACS,MINTY DRIZZEL,,,,,,,,,,,1.422187568099281,-.84467548,-2.1239395,,,,,-.091710135,,,,,,4
MINTY MANIACS,MINTY FLAV,,,,,,,,,,,,.31876162,,.76981509,,,,,,,,,,2
MINTY MANIACS,MINTY FRESH,,,,,,,,,,,,-1.8468145,.67513335,,-.21648489,-1.0556422,,,,,,,,4
MINTY MANIACS,MINTY SWIRL,,,,,,,,,,,.4646581965419445,-1.1882426,,,,,,,,,,,,2
O'RANGERS,ORANGIN,,,,,,,,,,,,,,,,,,,,-.019522905,,,,1
OCEANICS,BAY,,,,,,,,,,,,,,,,,,,-1.6788214,,,,,1
PINKIES,PINKY PANTHER,,,,,,,,,,,,,,,,,,,,,,,,0
RASPBERRY RACERS,RAZZY,,,,,,,,,,,,.84143108,.075332046,,,,.0008420406709709,1.2016057,1.0856619,,1.1270031,,,6
RASPBERRY RACERS,REZZY,,,,,,,,,,,,.73283291,,,,,-.0202051933262381,,.97780567,,,.7289564,,4
RASPBERRY RACERS,RIZZY,,,,,,,,,,,-.4390531437940974,.58557624,,,,.2245315,.502631349382051,,,,,,.72633749,5
RASPBERRY RACERS,ROZZY,,,,,,,,,,,,2.2737596,,,-.30727851,,.4008411483448348,,,.77722007,,,,4
RASPBERRY RACERS,RUZZY,,,,,,,,,,,,,,.78464729,,,,,,,,,,1
SAVAGE SPEEDERS,WHIZZY,,,,,.2901034462693509,,,,.55870873,,.3817729376791805,-.638982,,,,.59280103,.4263005916111825,,,-1.8630825,,-.55255431,,8
SHINING SWARM,SHIMMER,,,,,.3318780669105302,,,,.5048762,,,,,,,,-1.48391157740154,,.00053703663,,,,,4
SHINING SWARM,SHINY,,,,,.1132939119177371,.0479888841225046,,-.20291278,.47711882,,,,,,,,-.1657612155634474,,,,,,,5
SHINING SWARM,SPARKLE,,,,,-.4909005843034813,,-2.1670637,,.39552894,.7210446,,,-1.8840172,,,,.5295222504970956,-1.1277485,,,,,,7
SHINING SWARM,STERLING,,,,,-.2020734232618657,.1046442664449318,,,.53683925,,,,,,,,-.9799592452770906,,,,,,,4
TEAM GALACTIC,QUASAR,,,,,,,,,,,,,,,,,,,,,-1.464273,,,1
TEAM MOMO,MIMO,,,,,9.12383318008e-07,,,,.51496977,,,,1.1549749,-1.5442268,,,,,,,,,,4
TEAM PRIMARY,ARYP,,,,,,,,,,,,,,,,,,,-.50327003,,,,,1
THUNDERBOLTS,BOLT,,,,,,,,,,,,,,,,,.4271287597023171,.24033473,,-.17654763,-1.8439362,,,4
THUNDERBOLTS,LIGHTNING,,,,,,,,,,,,,,,,,-.4773764858936026,,-.42478409,,,,,2
THUNDERBOLTS,SHOCK,,,,,,,,,,,,,,,,,.240970820775268,,-.33533269,,,2.0104671,-.35695177,4
THUNDERBOLTS,THUNDER,,,,,,,,,,,,,,,,,-.4683280487248097,,,,,,,1
