TEAM,MEMBER,ORDER,TYPE,SAND16,WATER16,SPRINT16,HURDLES16
BALLS OF CHAOS,BALLS OF CHAOS,,2016.1,57.15,0.000903935,5.116,5.19
BALLS OF CHAOS,ANARCHY,1,2016.1,,0.000903935,,
BALLS OF CHAOS,TUMULT,2,2016.1,,,,
BALLS OF CHAOS,CLUTTER,3,2016.1,,,5.116,5.19
BALLS OF CHAOS,SNARL,4,2016.1,57.15,,,
CHOCOLATIERS,CHOCOLATIERS,,2016.1,58.69,0.000979167,5.183,5.95
CHOCOLATIERS,COCOA,1,2016.1,,0.000979167,,
CHOCOLATIERS,CHOC,2,2016.1,,,5.183,5.95
CHOCOLATIERS,MOCHA,3,2016.1,58.69,,,
CHOCOLATIERS,BONBON,4,2016.1,,,,
TEAM GALACTIC,TEAM GALACTIC,,2016.1,56,0.000917824,5.298,5.83
TEAM GALACTIC,COSMO,1,2016.1,,,,5.83
TEAM GALACTIC,STARRY,2,2016.1,56,,,
TEAM GALACTIC,ASTRON,3,2016.1,,,5.298,
TEAM GALACTIC,PULSAR,4,2016.1,,0.000917824,,
JAWBREAKERS,JAWBREAKERS,,2016.1,57.92,0.000917824,5.199,5.68
JAWBREAKERS,CANDY,1,2016.1,57.92,,,
JAWBREAKERS,TIDBIT,2,2016.1,,0.000917824,,
JAWBREAKERS,MOUTHFUL,3,2016.1,,,,5.68
JAWBREAKERS,TONGUE TWISTER,4,2016.1,,,5.199,
KOBALTS,KOBALTS,,2016.1,59.75,0.00090625,5.182,5.76
KOBALTS,AZURE,1,2016.1,,0.00090625,,
KOBALTS,CERULEAN,2,2016.1,59.75,,,
KOBALTS,ROYAL,3,2016.1,,,,
KOBALTS,DODGER,4,2016.1,,,5.182,5.76
LIMERS,LIMERS,,2016.1,60.34,     DNF,5.362,5.08
LIMERS,SUBLIME,1,2016.1,60.34,,,5.08
LIMERS,SLIMELIME,2,2016.1,,,,
LIMERS,JELLIME,3,2016.1,,,,
LIMERS,LEMONLIME,4,2016.1,,     DNF,5.362,
MELLOW YELLOW,MELLOW YELLOW,,2016.1,57.1,0.000909722,5.191,5.05
MELLOW YELLOW,YELLAH,1,2016.1,,,,
MELLOW YELLOW,YELLOW,2,2016.1,,0.000909722,,
MELLOW YELLOW,YELLEY,3,2016.1,57.1,,,
MELLOW YELLOW,YELLUP,4,2016.1,,,5.191,5.05
TEAM MOMO,TEAM MOMO,,2016.1,58.46,0.00094213,5.525,5.17
TEAM MOMO,MO,1,2016.1,,,,
TEAM MOMO,MOMO,2,2016.1,,,5.525,5.17
TEAM MOMO,MOMOMO,3,2016.1,,0.00094213,,
TEAM MOMO,MOMOMOMO,4,2016.1,58.46,,,
OCEANICS,OCEANICS,,2016.1,59.14,     DNF,5.396,5.56
OCEANICS,AQUA,1,2016.1,,,,5.56
OCEANICS,SEA,2,2016.1,,,,
OCEANICS,SHORE,3,2016.1,59.14,,,
OCEANICS,OCEAN,4,2016.1,,     DNF,5.396,
O'RANGERS,O'RANGERS,,2016.1,58.99,0.000909722,5.063,5.4
O'RANGERS,CLEMENTIN,1,2016.1,,,,
O'RANGERS,KINNOWIN,2,2016.1,,,,5.4
O'RANGERS,MANDARIN,3,2016.1,,0.000909722,,
O'RANGERS,TANGERIN,4,2016.1,58.99,,,
PINKIES,PINKIES,,2016.1,58.94,     DNF,5.221,DSQ
PINKIES,PINKY WINKY,1,2016.1,58.94,,,
PINKIES,PINKY DINK,2,2016.1,,     DNF,,
PINKIES,PINKY TOE,3,2016.1,,,,DSQ
PINKIES,PINKY ROSA,4,2016.1,,,5.221,
TEAM PRIMARY,TEAM PRIMARY,,2016.1,58.69,0.000935185,5.359,5.67
TEAM PRIMARY,PRIM,1,2016.1,,,,
TEAM PRIMARY,RIMA,2,2016.1,,0.000935185,5.359,
TEAM PRIMARY,IMAR,3,2016.1,,,,5.67
TEAM PRIMARY,MARY,4,2016.1,58.69,,,
ROJO ROLLERS,ROJO ROLLERS,,2016.1,56.83,     DSQ,5.34,5.69
ROJO ROLLERS,ROJO UNO,1,2016.1,56.83,,,
ROJO ROLLERS,ROJO DOS,2,2016.1,,,,5.69
ROJO ROLLERS,ROJO TRES,3,2016.1,,,5.34,
ROJO ROLLERS,ROJO CUATRO,4,2016.1,,     DSQ,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2016.1,58.59,0.000908565,5.094,5.2
SAVAGE SPEEDERS,SPEEDY,1,2016.1,,,,5.2
SAVAGE SPEEDERS,RAPIDLY,2,2016.1,,,5.094,
SAVAGE SPEEDERS,SWIFTY,3,2016.1,58.59,,,
SAVAGE SPEEDERS,VELOCITY,4,2016.1,,0.000908565,,
SNOWBALLS,SNOWBALLS,,2016.1,55.96,     DNF,5.157,5.3
SNOWBALLS,SNOWFLAKE,1,2016.1,55.96,,,
SNOWBALLS,SNOW,2,2016.1,,,5.157,
SNOWBALLS,SNOWY,3,2016.1,,     DNF,,5.3
SNOWBALLS,SNOWSTORM,4,2016.1,,,,
THUNDERBOLTS,THUNDERBOLTS,,2016.1,57.53,0.000925926,5.141,5.29
THUNDERBOLTS,BOLTA,1,2016.1,,,5.141,
THUNDERBOLTS,BOLTO,2,2016.1,57.53,,,5.29
THUNDERBOLTS,BOLTU,3,2016.1,,,,
THUNDERBOLTS,BOLTY,4,2016.1,,0.000925926,,
BALLS OF CHAOS,BALLS OF CHAOS,,2016.2,59.8,     DNF,5.093,5.19
BALLS OF CHAOS,ANARCHY,1,2016.2,,     DNF,,
BALLS OF CHAOS,TUMULT,2,2016.2,,,,
BALLS OF CHAOS,CLUTTER,3,2016.2,,,5.093,5.19
BALLS OF CHAOS,SNARL,4,2016.2,59.8,,,
CHOCOLATIERS,CHOCOLATIERS,,2016.2,58.69,0.000979167,5.072,5.95
CHOCOLATIERS,COCOA,1,2016.2,,0.000979167,,
CHOCOLATIERS,CHOC,2,2016.2,,,5.072,5.95
CHOCOLATIERS,MOCHA,3,2016.2,58.69,,,
CHOCOLATIERS,BONBON,4,2016.2,,,,
TEAM GALACTIC,TEAM GALACTIC,,2016.2,57.86,     DNF,5.298,5.83
TEAM GALACTIC,COSMO,1,2016.2,,,,5.83
TEAM GALACTIC,STARRY,2,2016.2,57.86,,,
TEAM GALACTIC,ASTRON,3,2016.2,,,5.298,
TEAM GALACTIC,PULSAR,4,2016.2,,     DNF,,
JAWBREAKERS,JAWBREAKERS,,2016.2,57.88,0.000917824,5.199,5.68
JAWBREAKERS,CANDY,1,2016.2,57.88,,,
JAWBREAKERS,TIDBIT,2,2016.2,,0.000917824,,
JAWBREAKERS,MOUTHFUL,3,2016.2,,,,5.68
JAWBREAKERS,TONGUE TWISTER,4,2016.2,,,5.199,
KOBALTS,KOBALTS,,2016.2,59.75,0.000909722,5.182,5.76
KOBALTS,AZURE,1,2016.2,,0.000909722,,
KOBALTS,CERULEAN,2,2016.2,59.75,,,
KOBALTS,ROYAL,3,2016.2,,,,
KOBALTS,DODGER,4,2016.2,,,5.182,
LIMERS,LIMERS,,2016.2,60.34,     DNF,5.146,5.44
LIMERS,SUBLIME,1,2016.2,60.34,,,5.44
LIMERS,SLIMELIME,2,2016.2,,,,
LIMERS,JELLIME,3,2016.2,,,,
LIMERS,LEMONLIME,4,2016.2,,     DNF,5.146,
MELLOW YELLOW,MELLOW YELLOW,,2016.2,55.94,0.000908565,5.191,5.34
MELLOW YELLOW,YELLAH,1,2016.2,,,,
MELLOW YELLOW,YELLOW,2,2016.2,,0.000908565,,
MELLOW YELLOW,YELLEY,3,2016.2,55.94,,,
MELLOW YELLOW,YELLUP,4,2016.2,,,5.191,5.34
TEAM MOMO,TEAM MOMO,,2016.2,58.25,0.00094213,5.525,5.78
TEAM MOMO,MO,1,2016.2,,,,
TEAM MOMO,MOMO,2,2016.2,,,5.525,5.78
TEAM MOMO,MOMOMO,3,2016.2,,0.00094213,,
TEAM MOMO,MOMOMOMO,4,2016.2,58.25,,,
OCEANICS,OCEANICS,,2016.2,59.14,     DNF,5.396,5.71
OCEANICS,AQUA,1,2016.2,,,,5.71
OCEANICS,SEA,2,2016.2,,,,
OCEANICS,SHORE,3,2016.2,59.14,,,
OCEANICS,OCEAN,4,2016.2,,     DNF,5.396,
O'RANGERS,O'RANGERS,,2016.2,58.99,     DNF,5.157,5.56
O'RANGERS,CLEMENTIN,1,2016.2,,,,
O'RANGERS,KINNOWIN,2,2016.2,,,,5.56
O'RANGERS,MANDARIN,3,2016.2,,     DNF,,
O'RANGERS,TANGERIN,4,2016.2,58.99,,,
PINKIES,PINKIES,,2016.2,58.94,     DNF,5.227,DSQ
PINKIES,PINKY WINKY,1,2016.2,58.94,,,
PINKIES,PINKY DINK,2,2016.2,,     DNF,,
PINKIES,PINKY TOE,3,2016.2,,,,DSQ
PINKIES,PINKY ROSA,4,2016.2,,,5.227,
TEAM PRIMARY,TEAM PRIMARY,,2016.2,58.69,0.000915509,5.359,5.67
TEAM PRIMARY,PRIM,1,2016.2,,,,
TEAM PRIMARY,RIMA,2,2016.2,,0.000915509,5.359,
TEAM PRIMARY,IMAR,3,2016.2,,,,5.67
TEAM PRIMARY,MARY,4,2016.2,58.69,,,
ROJO ROLLERS,ROJO ROLLERS,,2016.2,56.42,     DSQ,5.34,5.69
ROJO ROLLERS,ROJO UNO,1,2016.2,56.42,,,
ROJO ROLLERS,ROJO DOS,2,2016.2,,,,5.69
ROJO ROLLERS,ROJO TRES,3,2016.2,,,5.34,
ROJO ROLLERS,ROJO CUATRO,4,2016.2,,     DSQ,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2016.2,58.59,0.000880787,4.968,5.33
SAVAGE SPEEDERS,SPEEDY,1,2016.2,,,,5.33
SAVAGE SPEEDERS,RAPIDLY,2,2016.2,,,4.968,
SAVAGE SPEEDERS,SWIFTY,3,2016.2,58.59,,,
SAVAGE SPEEDERS,VELOCITY,4,2016.2,,0.000880787,,
SNOWBALLS,SNOWBALLS,,2016.2,60.14,     DNF,5.022,5.51
SNOWBALLS,SNOWFLAKE,1,2016.2,60.14,,,
SNOWBALLS,SNOW,2,2016.2,,,5.022,
SNOWBALLS,SNOWY,3,2016.2,,     DNF,,5.51
SNOWBALLS,SNOWSTORM,4,2016.2,,,,
THUNDERBOLTS,THUNDERBOLTS,,2016.2,59.02,0.000931713,5.138,5.36
THUNDERBOLTS,BOLTA,1,2016.2,,,5.138,
THUNDERBOLTS,BOLTO,2,2016.2,59.02,,,5.36
THUNDERBOLTS,BOLTU,3,2016.2,,,,
THUNDERBOLTS,BOLTY,4,2016.2,,0.000931713,,