EVENT,GROUP,Team1,Team2,Score1,Score2,Form1,Form2
Collision19,A,CHC,HAZ,4,2,Shield,Wide
Collision19,A,ORG,CCE,4,2,Line,Wide
Collision19,A,HAZ,CCE,1,1,Flank,Cross
Collision19,A,CHC,ORG,3,3,Flank,Cross
Collision19,A,ORG,HAZ,3,4,Flank,Wide
Collision19,A,CHC,CCE,2,2,Block,Line
Collision19,C,PNK,SPD,2,0,Block,Flank
Collision19,C,JMP,TBS,1,2,Spear,Block
Collision19,C,TBS,SPD,3,2,Spear,Flank
Collision19,C,JMP,PNK,4,1,Shield,Flank
Collision19,C,JMP,SPD,3,2,Block,Wide
Collision19,C,TBS,PNK,1,2,Line,Block
Collision19,B,GRD,BOC,2,2,Spear,Wide
Collision19,B,IND,MNW,2,3,Flank,Wide
Collision19,B,GRD,MNW,4,1,Line,Flank
Collision19,B,BOC,IND,1,3,Wide,Line
Collision19,B,GRD,IND,2,1,Cross,Flank
Collision19,B,BOC,MNW,3,1,Shield,Block
Collision19,D,RAS,OCN,3,2,Flank,Wide
Collision19,D,MYL,GAL,1,1,Cross,Spear
Collision19,D,RAS,GAL,3,2,Line,Block
Collision19,D,MYL,OCN,3,3,Line,Flank
Collision19,D,RAS,MYL,1,3,Cross,Line
Collision19,D,OCN,GAL,4,1,Cross,Line
Collision19,KO1,CHC,TBS,3,1,Line,Spear
Collision19,KO1,BOC,RAS,1,1,Block,Wide
Collision19,KO1,BOC,CHC,3,2,Wide,Block
Collision19,KO1,CHC,RAS,1,1,Flank,Wide
Collision19,KO1,RAS,RAS,3,2,Cross,Shield
Collision19,KO2,ORG,JMP,4,1,Spear,Flank
Collision19,KO2,MYL,GRD,3,3,Block,Line
Collision19,KO2,GRD,GRD,5,3,Wide,Line
Collision19,KO2,ORG,MYL,2,1,Block,Wide
Collision19,FINAL,MYL,CHC,2,1,Spear,Block
Collision19,FINAL,ORG,BOC,3,2,Shield,Line