EVENT,GROUP,Team,Rank
Collision19,A,CHC,1
Collision19,A,ORG,2
Collision19,A,HAZ,3
Collision19,A,CCE,4
Collision19,C,JMP,1
Collision19,C,TBS,2
Collision19,C,PNK,3
Collision19,C,SPD,4
Collision19,B,GRD,1
Collision19,B,BOC,2
Collision19,B,IND,3
Collision19,B,MNW,4
Collision19,D,RAS,1
Collision19,D,MYL,2
Collision19,D,OCN,3
Collision19,D,GAL,4
Collision19,KO1,BOC,1
Collision19,KO1,CHC,2
Collision19,KO1,RAS,3
Collision19,KO1,TBS,4
Collision19,KO2,ORG,1
Collision19,KO2,MYL,2
Collision19,KO2,GRD,3
Collision19,KO2,JMP,4
Collision19,FINAL,ORG,1
Collision19,FINAL,BOC,2
Collision19,FINAL,MYL,3
Collision19,FINAL,CHC,4