TEAM,MEMBER,RACE,F13,F12,F11,F10,F9,F8,F7,F6,F5,F4,F3,F2,F1
Rojo Rollers,Rojo Dos,S19G1,1.06,5.08,16.28,30.33,32.94,39.68,43.88,58.66,63.56,73.91,80.80,95.44,102.75
Snowballs,Snow,S19G1,1.10,6.44,13.85,18.08,40.35,49.98,51.18,53.78,74.45,87.13,97.36,107.54,116.35
Jawbreakers,Sugar,S19G1,1.18,2.76,7.43,11.15,22.72,24.45,33.40,34.25,42.48,51.84,60.46,72.40,83.45
Limers,Limelime,S19G1,1.14,14.26,22.12,24.23,28.26,31.22,33.83,47.66,53.15,59.78,62.46,69.90,76.25
Kobalts,Meepo,S19G1,1.22,3.26,3.96,22.41,25.06,37.38,39.04,42.22,54.47,61.87,70.58,78.74,84.86
Minty Maniacs,Minty Swirl,S19G1,1.32,9.66,10.73,15.45,18.39,27.16,59.74,67.48,77.78,80.68,85.68,87.04,93.38
Team Primary,Mary,S19G2,1.30,6.54,8.30,12.64,31.72,38.42,42.88,61.60,70.75,72.62,74.81,82.18,87.78
Turtle Sliders,Dash,S19G2,1.06,12.14,19.08,20.90,28.34,45.65,54.11,56.60,63.94,68.63,72.15,79.48,81.25
Hornets,Stinger,S19G2,1.02,11.72,12.42,13.82,14.20,26.25,38.67,41.30,50.46,53.26,87.62,91.24,99.76
Bumblebees,Bromble,S19G2,1.16,2.02,4.06,12.24,20.72,29.74,33.84,38.82,53.12,79.56,81.54,96.55,105.65
Shining Swarm,Shiny,S19G2,1.18,1.82,12.01,21.70,28.07,32.02,36.98,43.24,44.10,58.74,60.48,67.90,91.08
Team Momo,Mo,S19G2,1.12,4.60,21.96,31.64,36.80,40.26,47.76,52.72,62.08,63.44,67.40,72.20,79.56
Rojo Rollers,Rojo Dos,S19FN,1.36,8.97,12.16,19.42,37.95,50.38,55.95,58.55,68.86,82.83,85.52,101.96,104.70
Snowballs,Snow,S19FN,1.66,12.02,18.97,32.31,43.70,45.25,62.42,74.73,82.58,89.83,99.76,110.76,119.74
Minty Maniacs,Minty Swirl,S19FN,1.26,10.82,23.04,29.90,36.00,41.30,50.66,63.92,75.52,78.46,90.85,95.42,116.21
Hornets,Stinger,S19FN,1.02,6.30,8.12,21.60,22.20,27.06,30.81,44.60,58.15,68.99,75.19,76.88,81.76
Bumblebees,Bromble,S19FN,1.16,3.70,15.28,24.33,39.09,47.98,50.37,62.92,71.62,76.88,88.60,98.12,98.56
Shining Swarm,Shiny,S19FN,1.08,2.08,4.22,5.98,14.98,21.67,38.20,47.52,51.86,56.91,62.25,72.88,87.28
Indigo Stars,Indie,L19G1,1.00,12.18,15.15,32.61,37.12,39.22,53.15,56.35,57.76,76.42,82.18,84.22,96.42
Savage Speeders,Speedy,L19G1,1.04,2.33,21.70,22.61,26.25,66.08,76.95,83.53,94.22,103.68,111.00,113.37,114.32
Hazers,Foggy,L19G1,1.21,7.66,32.04,46.32,52.89,54.48,57.14,66.66,76.74,84.12,104.37,122.63,130.48
Team Galactic,Cosmo,L19G1,1.38,18.28,21.53,28.33,33.66,35.67,38.82,47.52,71.31,94.67,96.26,106.94,116.30
Balls of Chaos,Anarchy,L19G1,1.12,11.54,15.40,26.42,45.68,49.45,63.11,63.92,66.23,74.40,93.21,93.56,107.32
Chocolatiers,Bonbon,L19G1,1.23,5.00,6.66,13.64,27.02,31.10,44.62,62.70,78.74,80.75,86.34,91.04,94.51
Pinkies,Pinky Panther,L19G1,1.16,9.90,14.05,20.98,23.59,44.31,49.22,52.22,68.56,70.72,75.16,97.31,98.87
Crazy Cat's Eyes,Yellow Eye,L19G2,1.08,2.34,7.60,24.32,30.94,34.86,46.65,50.32,66.06,80.80,82.38,84.02,93.89
Midnight Wisps,Wespy,L19G2,1.26,11.56,20.20,35.74,39.58,41.90,42.86,67.06,76.79,77.07,84.81,97.32,99.11
Mellow Yellow,Yellah,L19G2,1.18,15.16,17.03,20.35,24.14,41.41,70.88,80.14,88.97,91.07,93.18,95.76,102.06
Oceanics,Aqua,L19G2,1.82,8.94,23.33,28.91,29.71,43.96,55.12,58.62,61.85,66.49,82.65,87.95,92.24
Green Ducks,Mallard,L19G2,1.14,2.23,10.50,14.66,48.95,57.32,66.60,69.00,74.04,75.07,77.41,92.10,123.22
Thunderbolts,Shock,L19G2,1.42,5.46,14.26,17.50,44.03,47.95,49.97,54.12,67.50,100.20,102.30,108.82,117.00
Raspberry Racers,Razzy,L19G2,1.58,2.92,19.98,23.37,27.41,37.04,41.86,45.68,56.27,71.32,116.69,125.92,140.58
Jungle Jumpers,Leap,L19G2,2.08,2.66,5.90,23.70,34.46,54.44,57.67,70.96,81.26,87.01,92.46,102.34,113.87
Balls of Chaos,Anarchy,L19FN,1.08,3.91,11.76,13.88,25.75,36.75,43.79,63.36,69.00,90.22,91.88,107.32,111.24
Team Galactic,Cosmo,L19FN,1.18,5.68,7.52,19.31,25.12,37.25,39.35,55.77,83.72,86.42,98.03,104.10,104.90
Raspberry Racers,Razzy,L19FN,1.42,2.75,23.66,32.35,48.45,53.38,55.38,64.11,76.88,81.18,90.91,92.53,126.86
Jungle Jumpers,Leap,L19FN,1.78,16.38,26.11,28.11,31.44,42.76,60.22,77.08,80.21,81.06,83.75,97.81,99.89
Savage Speeders,Speedy,L19FN,1.56,7.78,16.70,24.22,33.32,41.41,71.34,73.69,90.30,95.71,114.15,122.38,131.07
Thunderbolts,Shock,L19FN,1.14,2.40,5.26,37.22,43.28,49.22,51.50,52.57,60.55,72.20,101.27,102.50,105.80
Green Ducks,Mallard,L19FN,1.25,8.06,9.48,19.98,37.48,38.31,48.63,49.93,63.82,76.74,95.10,98.32,101.40
Hazers,Foggy,L19FN,2.20,9.05,20.19,24.06,45.85,61.40,63.60,68.36,71.82,101.03,106.17,115.82,116.73