BALLS OF CHAOS,CHOCOLATIERS,CRAZY CAT'S EYES,TEAM GALACTIC,GREEN DUCKS,HAZERS,INDIGO STARS,JAWBREAKERS,JUNGLE JUMPERS,KOBALTS,LIMERS,MELLOW YELLOW,MINTY MANIACS,MIDNIGHT WISPS,TEAM MOMO,OCEANICS,O'RANGERS,PINKIES,TEAM PRIMARY,RASPBERRY RACERS,ROJO ROLLERS,SAVAGE SPEEDERS,SHINING SWARM,SNOWBALLS,THUNDERBOLTS
,2-*,,2--,,,,2--,1--,,1--,1--,,1--,1-*,1-*,1-*,2-*,1-*,,,2-*,2--,,2-*
,#1 ,,#15,,,,#8 ,#11,,#9 ,#4 ,,#2 ,#16,#14,#5 ,#7 ,#12,,,#6 ,#9 ,,#3 
,B--,,CA-,,,,D--,D--,,AA2,DD-,,CC-,C--,C--,BB-,DB4,AC3,,,B--,BD1,,A--
,2B*,,3--,,,,4--,4--,,1B-,3B*,,1A-,2A-,3A*,2--,4B-,1--,,,4A*,2--,,1--
,1--,,1A*,,,,3--,1--,,4B*,2--,,4--,3B-,2B-,4A*,3A-,2--,,,1B*,2A-,,4--
,2--,,1--,,,,1A-,2--,,3A*,3--,,1--,1B*,4B-,3--,2B*,4--,,,2A*,3B-,,4A-
,4B-,,1B*,,,,2--,1--,,3A-,2--,,4--,4A*,1--,3B*,2A*,4--,,,1A-,2B-,,3--
,#14,,#7 ,,,,#4 ,#10,,#13,#1 ,,#9 ,#3 ,#6 ,#2 ,#11,#12,,,#5 ,#8 ,,#15
,#15,,#5 ,,,,#6 ,#14,,#8 ,#2 ,,#3 ,#9 ,#11,#4 ,#16,#12,,,#1 ,#10,,#13
,#2 ,,#8 ,,,,#8 ,#1 ,,#14,#11,,#12,#14,#16,#8 ,#6 ,#7 ,,,#13,#5 ,,#3 
,1--,,2B-,,,,3A-,4A*,,3--,1--,,4B*,3B-,2--,1B*,1A-,4--,,,4--,2A*,,2--
,2-*,,1-*,,,,2--,2--,,1--,1--,,2-*,2--,1-*,2-*,1--,2--,,,1--,1-*,,2-*